Method Name,Code Smell,Refactoring Suggestion
testAssignDtypeConversion,Long Method,Refactor 'testAssignDtypeConversion' by splitting it into smaller functions.
testReadValueInCrossReplicaContext,Long Method,Refactor 'testReadValueInCrossReplicaContext' by splitting it into smaller functions.
testSaveAndRestoreOnRead,Long Method,Refactor 'testSaveAndRestoreOnRead' by splitting it into smaller functions.
_get_tpu_strategy_creator,Long Method,Refactor '_get_tpu_strategy_creator' by splitting it into smaller functions.
_get_multi_worker_mirrored_creator,Long Method,Refactor '_get_multi_worker_mirrored_creator' by splitting it into smaller functions.
_get_ps_strategy_creator,Long Method,Refactor '_get_ps_strategy_creator' by splitting it into smaller functions.
_deferred_pool_runner,Long Method,Refactor '_deferred_pool_runner' by splitting it into smaller functions.
_create_tpu_strategy,Long Method,Refactor '_create_tpu_strategy' by splitting it into smaller functions.
_create_multi_worker_mirrored,Long Method,Refactor '_create_multi_worker_mirrored' by splitting it into smaller functions.
_create_parameter_server,Long Method,Refactor '_create_parameter_server' by splitting it into smaller functions.
connect_to_remote_host,Long Method,Refactor 'connect_to_remote_host' by splitting it into smaller functions.
connect_to_cluster,Long Method,Refactor 'connect_to_cluster' by splitting it into smaller functions.
serialize_slot_variables,Long Method,Refactor 'serialize_slot_variables' by splitting it into smaller functions.
add_checkpoint_values_check,Long Method,Refactor 'add_checkpoint_values_check' by splitting it into smaller functions.
objects_ids_and_slot_variables_and_paths,Long Method,Refactor 'objects_ids_and_slot_variables_and_paths' by splitting it into smaller functions.
testWriteEvents,Long Method,Refactor 'testWriteEvents' by splitting it into smaller functions.
variable_sync_on_read_context,Long Method,Refactor 'variable_sync_on_read_context' by splitting it into smaller functions.
get_replica_context,Long Method,Refactor 'get_replica_context' by splitting it into smaller functions.
experimental_set_strategy,Long Method,Refactor 'experimental_set_strategy' by splitting it into smaller functions.
__exit__,Long Method,Refactor '__exit__' by splitting it into smaller functions.
scope,Long Method,Refactor 'scope' by splitting it into smaller functions.
experimental_distribute_dataset,Long Method,Refactor 'experimental_distribute_dataset' by splitting it into smaller functions.
distribute_datasets_from_function,Long Method,Refactor 'distribute_datasets_from_function' by splitting it into smaller functions.
run,Long Method,Refactor 'run' by splitting it into smaller functions.
reduce,Long Method,Refactor 'reduce' by splitting it into smaller functions.
cluster_resolver,Long Method,Refactor 'cluster_resolver' by splitting it into smaller functions.
experimental_distribute_values_from_function,Long Method,Refactor 'experimental_distribute_values_from_function' by splitting it into smaller functions.
gather,Long Method,Refactor 'gather' by splitting it into smaller functions.
make_input_fn_iterator,Long Method,Refactor 'make_input_fn_iterator' by splitting it into smaller functions.
experimental_run,Long Method,Refactor 'experimental_run' by splitting it into smaller functions.
_scope,Long Method,Refactor '_scope' by splitting it into smaller functions.
colocate_vars_with,Long Method,Refactor 'colocate_vars_with' by splitting it into smaller functions.
reduce_to,Long Method,Refactor 'reduce_to' by splitting it into smaller functions.
batch_reduce_to,Long Method,Refactor 'batch_reduce_to' by splitting it into smaller functions.
_replica_ctx_all_reduce,Long Method,Refactor '_replica_ctx_all_reduce' by splitting it into smaller functions.
_gather_to,Long Method,Refactor '_gather_to' by splitting it into smaller functions.
update,Long Method,Refactor 'update' by splitting it into smaller functions.
experimental_run_steps_on_iterator,Long Method,Refactor 'experimental_run_steps_on_iterator' by splitting it into smaller functions.
call_for_each_replica,Long Method,Refactor 'call_for_each_replica' by splitting it into smaller functions.
merge_call,Long Method,Refactor 'merge_call' by splitting it into smaller functions.
all_reduce,Long Method,Refactor 'all_reduce' by splitting it into smaller functions.
all_gather,Long Method,Refactor 'all_gather' by splitting it into smaller functions.
_update,Long Method,Refactor '_update' by splitting it into smaller functions.
mean_reduce_helper,Long Method,Refactor 'mean_reduce_helper' by splitting it into smaller functions.
creator_with_resource_vars,Long Method,Refactor 'creator_with_resource_vars' by splitting it into smaller functions.
dimension,Long Method,Refactor 'dimension' by splitting it into smaller functions.
testOperatorOverride,Long Method,Refactor 'testOperatorOverride' by splitting it into smaller functions.
testMultipleLocalDevices,Long Method,Refactor 'testMultipleLocalDevices' by splitting it into smaller functions.
testClusterSpecPropagationThreeServers2Graphs,Long Method,Refactor 'testClusterSpecPropagationThreeServers2Graphs' by splitting it into smaller functions.
testClusterSpecPropagationThreeServers,Long Method,Refactor 'testClusterSpecPropagationThreeServers' by splitting it into smaller functions.
testClusterSpecPropagationThreeServersOneCluster,Long Method,Refactor 'testClusterSpecPropagationThreeServersOneCluster' by splitting it into smaller functions.
testClusterSpecPropagationIsolation,Long Method,Refactor 'testClusterSpecPropagationIsolation' by splitting it into smaller functions.
testClusterSpecPropagationNonIsolation,Long Method,Refactor 'testClusterSpecPropagationNonIsolation' by splitting it into smaller functions.
testClusterSpecPropagationNonIsolation2Graphs,Long Method,Refactor 'testClusterSpecPropagationNonIsolation2Graphs' by splitting it into smaller functions.
quick_execute,Long Method,Refactor 'quick_execute' by splitting it into smaller functions.
execute_with_cancellation,Long Method,Refactor 'execute_with_cancellation' by splitting it into smaller functions.
args_to_matching_eager,Long Method,Refactor 'args_to_matching_eager' by splitting it into smaller functions.
args_to_mixed_eager_tensors,Long Method,Refactor 'args_to_mixed_eager_tensors' by splitting it into smaller functions.
_is_device_list_single_worker,Long Method,Refactor '_is_device_list_single_worker' by splitting it into smaller functions.
_infer_num_gpus_per_worker,Long Method,Refactor '_infer_num_gpus_per_worker' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_make_collective_ops_with_fallbacks,Long Method,Refactor '_make_collective_ops_with_fallbacks' by splitting it into smaller functions.
_initialize_multi_worker,Long Method,Refactor '_initialize_multi_worker' by splitting it into smaller functions.
_create_variable,Long Method,Refactor '_create_variable' by splitting it into smaller functions.
_experimental_run_steps_on_iterator,Long Method,Refactor '_experimental_run_steps_on_iterator' by splitting it into smaller functions.
testFromFunctionInputSignatureForPerReplicaValuesWithOptions,Long Method,Refactor 'testFromFunctionInputSignatureForPerReplicaValuesWithOptions' by splitting it into smaller functions.
testTypeSpecReturnedFromTFFunction,Long Method,Refactor 'testTypeSpecReturnedFromTFFunction' by splitting it into smaller functions.
testTypeSpecRaggedTensor,Long Method,Refactor 'testTypeSpecRaggedTensor' by splitting it into smaller functions.
testTypeSpecComponents,Long Method,Refactor 'testTypeSpecComponents' by splitting it into smaller functions.
testDistributedDatasetsFromFunctionSpec,Long Method,Refactor 'testDistributedDatasetsFromFunctionSpec' by splitting it into smaller functions.
testTypeSpec,Long Method,Refactor 'testTypeSpec' by splitting it into smaller functions.
testTypeSpecRoundTrip,Long Method,Refactor 'testTypeSpecRoundTrip' by splitting it into smaller functions.
testDoesNotTriggerFunctionTracing,Long Method,Refactor 'testDoesNotTriggerFunctionTracing' by splitting it into smaller functions.
enable_v2_behavior,Long Method,Refactor 'enable_v2_behavior' by splitting it into smaller functions.
disable_v2_behavior,Long Method,Refactor 'disable_v2_behavior' by splitting it into smaller functions.
register_session_run_conversion_functions,Long Method,Refactor 'register_session_run_conversion_functions' by splitting it into smaller functions.
_uniquify_fetches,Long Method,Refactor '_uniquify_fetches' by splitting it into smaller functions.
for_fetch,Long Method,Refactor 'for_fetch' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
build_results,Long Method,Refactor 'build_results' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
list_devices,Long Method,Refactor 'list_devices' by splitting it into smaller functions.
as_default,Long Method,Refactor 'as_default' by splitting it into smaller functions.
run,Long Method,Refactor 'run' by splitting it into smaller functions.
partial_run,Long Method,Refactor 'partial_run' by splitting it into smaller functions.
partial_run_setup,Long Method,Refactor 'partial_run_setup' by splitting it into smaller functions.
_run,Long Method,Refactor '_run' by splitting it into smaller functions.
make_callable,Long Method,Refactor 'make_callable' by splitting it into smaller functions.
_do_run,Long Method,Refactor '_do_run' by splitting it into smaller functions.
__exit__,Long Method,Refactor '__exit__' by splitting it into smaller functions.
reset,Long Method,Refactor 'reset' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
testCompatibility,Long Method,Refactor 'testCompatibility' by splitting it into smaller functions.
testSliceDimOutOfRange,Long Method,Refactor 'testSliceDimOutOfRange' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
testMultiThreadPendingNodesServerReplaced,Long Method,Refactor 'testMultiThreadPendingNodesServerReplaced' by splitting it into smaller functions.
testMultiThreadPendingNodesLockFree,Long Method,Refactor 'testMultiThreadPendingNodesLockFree' by splitting it into smaller functions.
testDistributedFunctionBothServersReplaced,Long Method,Refactor 'testDistributedFunctionBothServersReplaced' by splitting it into smaller functions.
testDistributedFunctionPendingNodesServerReplaced,Long Method,Refactor 'testDistributedFunctionPendingNodesServerReplaced' by splitting it into smaller functions.
testParameterServerMultiExecutors,Long Method,Refactor 'testParameterServerMultiExecutors' by splitting it into smaller functions.
checkpoint_test_helper,Long Method,Refactor 'checkpoint_test_helper' by splitting it into smaller functions.
testDeepCopy,Long Method,Refactor 'testDeepCopy' by splitting it into smaller functions.
testSaveNonDistributed,Long Method,Refactor 'testSaveNonDistributed' by splitting it into smaller functions.
testUnsaveable,Long Method,Refactor 'testUnsaveable' by splitting it into smaller functions.
_wrap_iterator,Long Method,Refactor '_wrap_iterator' by splitting it into smaller functions.
_test_input_iteration,Long Method,Refactor '_test_input_iteration' by splitting it into smaller functions.
testAutoShardExplicit,Long Method,Refactor 'testAutoShardExplicit' by splitting it into smaller functions.
testIterableIteratorError,Long Method,Refactor 'testIterableIteratorError' by splitting it into smaller functions.
testUnevenDatasetBatchesMultiWorker,Long Method,Refactor 'testUnevenDatasetBatchesMultiWorker' by splitting it into smaller functions.
testUnevenDatasetBatchesMultiWorkerFourReplicas,Long Method,Refactor 'testUnevenDatasetBatchesMultiWorkerFourReplicas' by splitting it into smaller functions.
testBatchSplittingMultiWorker,Long Method,Refactor 'testBatchSplittingMultiWorker' by splitting it into smaller functions.
testRaggedSparse,Long Method,Refactor 'testRaggedSparse' by splitting it into smaller functions.
testRaggedSparseGetNextAsOptional,Long Method,Refactor 'testRaggedSparseGetNextAsOptional' by splitting it into smaller functions.
testRaggedSparseGetNextAsOptionalInLoop,Long Method,Refactor 'testRaggedSparseGetNextAsOptionalInLoop' by splitting it into smaller functions.
testMWMSPartialBatch,Long Method,Refactor 'testMWMSPartialBatch' by splitting it into smaller functions.
testMWMSPartialBatchWithLegacyRebatch,Long Method,Refactor 'testMWMSPartialBatchWithLegacyRebatch' by splitting it into smaller functions.
testMWMSWithDataSharding,Long Method,Refactor 'testMWMSWithDataSharding' by splitting it into smaller functions.
testDistributeDatasetFromFunction,Long Method,Refactor 'testDistributeDatasetFromFunction' by splitting it into smaller functions.
testDistributeDatasetFromFunctionNested,Long Method,Refactor 'testDistributeDatasetFromFunctionNested' by splitting it into smaller functions.
get_distributed_dataset,Long Method,Refactor 'get_distributed_dataset' by splitting it into smaller functions.
get_distributed_datasets_from_function,Long Method,Refactor 'get_distributed_datasets_from_function' by splitting it into smaller functions.
testCreateLookupInDatasetFnUnderScope,Long Method,Refactor 'testCreateLookupInDatasetFnUnderScope' by splitting it into smaller functions.
testAccessingResourceHandleInDatasetFnWithoutMap,Long Method,Refactor 'testAccessingResourceHandleInDatasetFnWithoutMap' by splitting it into smaller functions.
testCreateTableUnderScopeCombo,Long Method,Refactor 'testCreateTableUnderScopeCombo' by splitting it into smaller functions.
testCreateTableInDatasetCombo,Long Method,Refactor 'testCreateTableInDatasetCombo' by splitting it into smaller functions.
testAccessingTableInStepFunction,Long Method,Refactor 'testAccessingTableInStepFunction' by splitting it into smaller functions.
testAccessingResourceHandleInDatasetFnWithMapFnDefinedOutside,Long Method,Refactor 'testAccessingResourceHandleInDatasetFnWithMapFnDefinedOutside' by splitting it into smaller functions.
testInModelAndCapture,Long Method,Refactor 'testInModelAndCapture' by splitting it into smaller functions.
testLookupInNestedTFWhileLoop,Long Method,Refactor 'testLookupInNestedTFWhileLoop' by splitting it into smaller functions.
testDistributeTableSaveAndLoadUnderStrategy,Long Method,Refactor 'testDistributeTableSaveAndLoadUnderStrategy' by splitting it into smaller functions.
test_streaming,Long Method,Refactor 'test_streaming' by splitting it into smaller functions.
test_not_share_gpu,Long Method,Refactor 'test_not_share_gpu' by splitting it into smaller functions.
_single_shard_save,Long Method,Refactor '_single_shard_save' by splitting it into smaller functions.
_single_shard_restore,Long Method,Refactor '_single_shard_restore' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_get_shards_by_task,Long Method,Refactor '_get_shards_by_task' by splitting it into smaller functions.
save,Long Method,Refactor 'save' by splitting it into smaller functions.
restore,Long Method,Refactor 'restore' by splitting it into smaller functions.
save_fn,Long Method,Refactor 'save_fn' by splitting it into smaller functions.
restore_fn,Long Method,Refactor 'restore_fn' by splitting it into smaller functions.
testAggregateGradients,Long Method,Refactor 'testAggregateGradients' by splitting it into smaller functions.
testImplicitGradOverEmbeddingLookup,Long Method,Refactor 'testImplicitGradOverEmbeddingLookup' by splitting it into smaller functions.
testJacobianCustomGradient,Long Method,Refactor 'testJacobianCustomGradient' by splitting it into smaller functions.
testCustomGradientForwardprop,Long Method,Refactor 'testCustomGradientForwardprop' by splitting it into smaller functions.
testClassAttrsRemoved,Long Method,Refactor 'testClassAttrsRemoved' by splitting it into smaller functions.
testAddVariable,Long Method,Refactor 'testAddVariable' by splitting it into smaller functions.
testFreezing,Long Method,Refactor 'testFreezing' by splitting it into smaller functions.
testOverlappingRestores,Long Method,Refactor 'testOverlappingRestores' by splitting it into smaller functions.
testDependencyLoop,Long Method,Refactor 'testDependencyLoop' by splitting it into smaller functions.
testCheckpointStateChangingVarList,Long Method,Refactor 'testCheckpointStateChangingVarList' by splitting it into smaller functions.
test_write_checkpoint_path_tensor_from_function,Long Method,Refactor 'test_write_checkpoint_path_tensor_from_function' by splitting it into smaller functions.
test_initialize_with_root_object_and_kwargs,Long Method,Refactor 'test_initialize_with_root_object_and_kwargs' by splitting it into smaller functions.
test_deferred_dependency_avoids_reference_cycles,Long Method,Refactor 'test_deferred_dependency_avoids_reference_cycles' by splitting it into smaller functions.
testCallbackWithManager,Long Method,Refactor 'testCallbackWithManager' by splitting it into smaller functions.
testCallbackWithoutManager,Long Method,Refactor 'testCallbackWithoutManager' by splitting it into smaller functions.
test_keys_and_metadata,Long Method,Refactor 'test_keys_and_metadata' by splitting it into smaller functions.
test_trackable_save_restore_nested,Long Method,Refactor 'test_trackable_save_restore_nested' by splitting it into smaller functions.
_test_gradients,Long Method,Refactor '_test_gradients' by splitting it into smaller functions.
testJVPFunctionWithBatchOfTangents,Long Method,Refactor 'testJVPFunctionWithBatchOfTangents' by splitting it into smaller functions.
testDeferredSlotRestoration,Long Method,Refactor 'testDeferredSlotRestoration' by splitting it into smaller functions.
testSkipSlotVarRestore,Long Method,Refactor 'testSkipSlotVarRestore' by splitting it into smaller functions.
testMultipleGraphsNonSlotVariables,Long Method,Refactor 'testMultipleGraphsNonSlotVariables' by splitting it into smaller functions.
test_trackable_save_restore,Long Method,Refactor 'test_trackable_save_restore' by splitting it into smaller functions.
topological_sort_operations,Long Method,Refactor 'topological_sort_operations' by splitting it into smaller functions.
testEquality,Long Method,Refactor 'testEquality' by splitting it into smaller functions.
testEqualityNan,Long Method,Refactor 'testEqualityNan' by splitting it into smaller functions.
testEqualityCompare,Long Method,Refactor 'testEqualityCompare' by splitting it into smaller functions.
testEqualityBroadcast,Long Method,Refactor 'testEqualityBroadcast' by splitting it into smaller functions.
testContext,Long Method,Refactor 'testContext' by splitting it into smaller functions.
testExecutionModeIsStoredThreadLocal,Long Method,Refactor 'testExecutionModeIsStoredThreadLocal' by splitting it into smaller functions.
_initialize_multi_worker,Long Method,Refactor '_initialize_multi_worker' by splitting it into smaller functions.
_initialize_local,Long Method,Refactor '_initialize_local' by splitting it into smaller functions.
_create_var_creator,Long Method,Refactor '_create_var_creator' by splitting it into smaller functions.
_configure,Long Method,Refactor '_configure' by splitting it into smaller functions.
var_creator,Long Method,Refactor 'var_creator' by splitting it into smaller functions.
_assign_func,Long Method,Refactor '_assign_func' by splitting it into smaller functions.
resource_handle_call_time_value,Long Method,Refactor 'resource_handle_call_time_value' by splitting it into smaller functions.
closure,Long Method,Refactor 'closure' by splitting it into smaller functions.
_get_all_trackables,Long Method,Refactor '_get_all_trackables' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_ensure_initialized,Long Method,Refactor '_ensure_initialized' by splitting it into smaller functions.
_async_save,Long Method,Refactor '_async_save' by splitting it into smaller functions.
_handle_tpu_embedding,Long Method,Refactor '_handle_tpu_embedding' by splitting it into smaller functions.
_write,Long Method,Refactor '_write' by splitting it into smaller functions.
